site,gen,sp,seedlength.cat,maxht.cat,seedmass.mg,WSG,maxht,SLA,LDMC,seedlength.mm,,
SAR,Piper,colonense,<1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Coccoloba,tuerckheimii,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ardisia,fimbrillifera,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ardisia,granetensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ardisia,opegrapha,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ardisia,standleyana,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Parathesis,trichogyne,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Drypetes,brownii,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Drypetes,standleyi,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Colubrina,spinosa,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cassipourea,elliptica,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Alibertia,atlantica,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Alibertia,dwyeri,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Chimarrhis,parviflora,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Chione,venosa,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Coussarea,impetiolaris,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Coussarea,talamancana,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Coutarea,hexandra,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Faramea,glandulosa,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Faramea,multiflora,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Faramea,parvibractea,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Faramea,suerrensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ferdinandusa,panamensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Genipa,americana,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hippotis,panamensis,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Palicourea,hondensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Palicourea,psychotrioides,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Palicourea_,beachiana,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Pentagonia,monocaulis,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Posoqueria,grandiflora,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Posoqueria,latifolia,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Posoqueria,maxima,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Psychotria,buchtienii,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Psychotria,cooperi,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Psychotria,elata,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Psychotria,luxurians,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Psychotria,panamensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Psychotria,suerrensis,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Simira,maxonii,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Warszewiczia,coccinea,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Citrus,sinensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Zanthoxylum,panamense,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Meliosma,donnellsmithii,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Casearia,arborea,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Casearia,commersoniana,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Casearia,coronata,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Casearia,sylvestris,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Casearia,tacanensis_,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Hasseltia,floribunda,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Laetia,procera,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pleuranthodendron,lindenii,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Ryania,speciosa,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Xylosma,chlorantha,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Allophylus,psilospermus,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cupania,cinerea,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cupania,glabra,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cupania,hirsuta,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cupania,pseudostipularis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cupania,rufescens,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Talisia,nervosa,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Vouarana,anomala,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Chrysophyllum,colombianum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Chrysophyllum,hirsutum,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Chrysophyllum,venezuelanense,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Elaeoluma,glabrescens,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,bracteata,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,calistophylla,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,campechiana,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,durlandii,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,filiepes,NA,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,glomerata,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,reticulata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pouteria,torta,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pradosia,atroviolacea,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Simarouba,amara,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Siparuna,cuspidata,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cestrum,megalophyllum,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Cestrum,racemosum,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Ampelocera,macrocarpa,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cecropia,insignis,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Cecropia,obtusifolia,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pourouma,bicolor,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Pourouma,minor,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Rinorea,deflexiflora,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
SAR,Qualea,polychroma,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Vochysia,ferruginea,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
SAR,Vochysia,guatemalensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Abarema,adenophora,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Acalypha,diversifolia,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Aegiphila,martinicensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Aegiphila,sp1,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Aiouea,obscura,NA,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Alchornea,costaricensis,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Alchornea,grandis,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Alchornea,latifolia,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Alchorneopsis,floribunda,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Allophylus,gentryi,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Ampelocera,macrocarpa,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Amphirrhox,longifolia,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Amphitecna,kennedyae,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Anacardium,excelsum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Anaxagorea,crassipetala,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Andira,inermis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Annona,amazonica,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Rollinia,mucosa,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Anthodiscus,chocoensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Apeiba,glabra,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Apeiba,tibourbou,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Arachnothryx,bertieroides,NA,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ardisia,dodgei,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ardisia,dunlapiana,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Aspidosperma,myristicifolium,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Aspidosperma,spruceanum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Astrocaryum,alatum,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Astrocaryum,standleyanum,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Attalea,butyracea,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Bactris,glandulosa,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Balizia,elegans,NA,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Batocarpus,costaricensis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Bellucia,pentamera,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Bombacopsis,sessilis,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Alibertia,dwyeri,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Alibertia,patinoi,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Bourreria,rinconensis,NA,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Brosimum,alicastrum,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Brosimum,costaricanum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Brosimum,guianense,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Brosimum,lactescens,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Brosimum,utile,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Bunchosia,macrophylla,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Byrsonima,crassifolia,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Byrsonima,crispa,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Callicarpa,acuminata,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Calophyllum,brasiliense,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Calophyllum,longifolium,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Capparidastrum,discolor,under 1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Carapa,guianensis,50 to <100 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Caryocar,costaricense,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Caryodaphnopsis,burgeri,NA,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Casearia,arborea,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Casearia,commersoniana,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Casearia,sylvestris,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cassia,grandis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cassipourea,guianensis,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Castilla,tunu,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cecropia,insignis,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cecropia,obtusifolia,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cedrela,odorata,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ceiba,pentandra,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Celtis,schippii,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cestrum,intermedium,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cestrum,racemosum,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chaunochiton,kappleri,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cheiloclinium,cognatum,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chimarrhis,latifolia,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Chimarrhis,parviflora,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Chione,silvestris,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chomelia,microloba,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chomelia,venulosa,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Chromolucuma,rubriflora,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysochlamys,glauca,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysochlamys,grandifolia,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysochlamys,longifolium,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysochlamys,skutchii,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysophyllum,argenteum,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysophyllum,oliviforme,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysophyllum,sp1,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Chrysophyllum,sp2,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cinnamomum,chavarrianum,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cinnamomum,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Clarisia,biflora,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Coccoloba,obovata,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Coccoloba,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Coccoloba,sp2,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Coccoloba,standleyana,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Coccoloba,tuerckheimii,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Compsoneura,excelsa,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Condaminea,corymbosa,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Conostegia,tenuifolia,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cordia,bicolor,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cordia,nodosa,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cordia,cymosa,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cordia,megalantha,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cordia,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Couratari,guianensis,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Palicourea,hondensis,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Palicourea,beachiana,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Palicourea,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Crateva,tapia,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Crescentia,cujete,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Rhacoma,parviflorum,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Croton,schiedeanus,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Croton,smithianus,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cupania,rufescens,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Cupania,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Cymbopetalum,costaricense,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Dendropanax,arboreus,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Desmopsis,heteropetala,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Desmopsis,verrucipes,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Dialium,guianense,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Dichapetalum,nervatum,50 to <100 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Dicranostyles,ampla,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Dilodendron,costaricense,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Diphysa,americana,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Drypetes,brownii,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Duguetia,confusa,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Duroia,costaricensis,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Dussia,macroprophyllata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Dussia,martinicensis,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Enterolobium,cyclocarpum,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Erblichia,odorata,NA,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Erythroxylum,macrophyllum,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Eschweilera,biflava,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Eschweilera,calyculata,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Eschweilera,neei,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Eschweilera,panamensis,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Eschweilera,sp2,30 to <50 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Eugenia,sp1,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Eugenia,sp2,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Eugenia,sp3,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Euterpe,precatoria,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Fairchildia,panamensis,50 to <100 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Faramea,tamberlikiana,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Faramea,suerrensis,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,matiziana,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,citrifolia,under 1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,colubrinae,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,costaricana,under 1 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,insipida,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,maxima,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,crocata,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,nymphaeifolia,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,obtusifolia,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,osensis,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,sp2,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,tonduzii,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Ficus,trachelosyce,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Garcinia,madruno,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Garcinia,spC,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Genipa,americana,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Geonoma,deversa,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Gloeospermum,diversipetalum,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Goethalsia,meiantha,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Gordonia,brenesii,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Grias,cauliflora,30 to <50 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guapira,costaricana,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,aguilarii,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,bullata,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,grandifolia,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,pterorhachis,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,spP8,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,spR,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,tonduzii,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guarea,kunthiana,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guatteria,amplifolia,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guatteria,chiriqiuensis,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guatteria,lucens,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guatteria,pudica,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guatteria,rostrata,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Guazuma,ulmifolia,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guettarda,foliacea,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guettarda,subcapitata,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Guettarda,sanblasensis,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Stenostomum,turrialbanum,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Gustavia,brachycarpa,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Hamelia,magnifolia,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Hampea,appendiculata,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Hampea,appendiculata,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Heisteria,acuminata,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Heisteria,concinna,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Heliocarpus,appendiculatus,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Henriettea,succosa,6 to <15 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Henriettea,tuberculosa,1 to <6 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Hieronyma,alchorneoides,1 to <6 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Hirtella,lemsii,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Hirtella,racemosa,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Hirtella,sp1,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Hirtella,triandra,15 to <30 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Humiriastrum,diguense,15 to <30 mm,canopy,NA,NA,NA,NA,NA,NA,,
OSA,Ilex,skutchii,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
OSA,Inga,acrocephala,6 to <15 mm,subcanopy,NA,NA,NA,NA,NA,NA,,
